id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1088,4210261502,Porta de Aluminio,PORTA BOREAL PX.  PERFIL FINO CHUMBO GRAFITE 2199 X 591,0,,,,2,VALTER,2024-10-30,
1089,4210261503,Acessorios Avulsos,PUXADOR FACETATO TITANIO - BARRA 6200MM,0,,2024-10-29,2024-10-30,4,VALTER,2024-10-30,
1090,4210261503,Acessorios Avulsos,PONTEIRA FACETATO TITANIO - PAR,0,,2024-10-29,2024-10-30,12,VALTER,2024-10-30,
1091,4210252502,Paineis,SARRAFO MADEIRA MACIÇA  1710 X 45 X 50,0,,,,1,,2024-10-31,
1092,4210261507,Porta de Aluminio,PORTA ESPELHO RO 21 - PX PERFIL FINO 890 X 870,0,,,,1,VALTER,2024-11-04,
1093,4210261507,Acessorios Avulsos,PUXADOR FACETATO SUPRA NATURAL - BARRA 836MM,0,,,,1,VALTER,2024-10-28,
1094,4210261507,Acessorios Avulsos,PONTEIRA FACETATO SUPRA NATURAL - PAR,0,,,,1,VALTER,2024-10-28,
1095,4200542701,Acessorios Avulsos,MÃO FRANCESA COR PRETA 500MM - PAR,0,,,,1,estoque,2024-09-03,
1096,4200542703,Porta de Aluminio,PORTA DE GIRO ESPELHO PRATA,0,,,,2,VALTER,2024-10-01,
1097,4210258401,Acessorios Avulsos,PUXADOR ABA 100MM PRETO,0,,,,25,ESTOQUE,2024-09-23,
